sociÇtÇ;rue;code postal;ville;Latitude;Longitude;Type de batiment (rÇdaction, usine?);Photo du bÉtiment;Nom du groupe auquel il appartient (Publihebos, PrÇcom?);nom;prÇnom;photo;description
OF;91, rue du Faubourg St HonorÇ;75008;Paris;48.871875;2.313111;RÇdaction;;Ouest-France;VERNAY;StÇphane;;
OF;26 place Kastler;85300;Challans;46.835170;-1.882886;RÇdaction;;Ouest-France;BARDY;CÇline;;
OF;21 bis rue de la RÇpublique;85200;Fontenay-Le-Comte;46.465678;-0.804319;RÇdaction;;Ouest-France;"""";"""";;
OF;4 rue Raymond PoincarÇ;85000;La Roche-sur-Yon;46.669245;-1.433112;RÇdaction;;Ouest-France;"""";"""";;
OF;7 place du Poilu de France;85100;Les Sables d'Olonne;46.496523;-1.783481;RÇdaction;;Ouest-France;"""";"""";;
OF;17 Grande rue;85500;Les Herbiers;46.871553;-1.015613;RÇdaction;;Ouest-France;"""";"""";;
OF;8, avenue Jean Cristau;85800;St Gilles Croix-de-vie;46.697946;-1.948253;RÇdaction;;Ouest-France;"""";"""";;
Precom;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Leliävre/Phillibert;Patrick/Christian;;
 RÇgie Radio RÇgions;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Porcher;Laurent;;
Medialex;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Colin;Olivier;;
Happy Prod;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Connehaye;Romain;;
Affiouest;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Le Bail;Remy;;
Precontact;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Duru;Joâl;;
OFM;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Philibert ;Christian;;
Nantes Media;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Oger;Yann;;
Dans nos c?urs;10, rue du Breil zone industrielle de Chantepie;35200;RENNES;"48¯05'42.6""N ";"1¯37'44.8""W";Siäge;;Additi;Tricart;Anne-Sophie;;
Infomer;13, rue du Breil;35063;Rennes;48.0956;-1.6269600000000537;RÇdaction;;Ouest-France;Boucher;Jean-Paul;;Infomer est une filiale du groupe SIPA - Ouest-France, crÇÇe le 1er janvier 1990, spÇcialisÇe dans la presse maritime en France.
Le Marin;13, rue du Breil;35063;Rennes;48.0956;-1.6269600000000537;RÇdaction;;Ouest-France;Boucher;Jean-Paul;;Le Marin est un journal hebdomadaire, spÇcialisÇ dans les informations maritimes, dont le siäge est Ö Rennes. Il appartient au Groupe Ouest-France.
Produits de la Mer;13, rue du Breil;35063;Rennes;48.0956;-1.6269600000000537;RÇdaction;;Ouest-France;Boucher;Jean-Paul;;Les produits de la mer dÇsignent les animaux ou plantes qui sont consommÇs par les àtres humains. Ils comprennent les animaux marins, comme les poissons, mammifäres, fruits de mer, ainsi que les algues et plantes marines.
Chasse MarÇe;45 Boulevard Camille Reaud;29100;Douarnenez;48.0948;-4.334730000000036;RÇdaction;;Ouest-France;Boucher;Jean-Paul;;Chasse-MarÇe est un magazine franáais qui paraåt neuf fois par an, et une maison d'Çdition, crÇÇ en 1981 par la sociÇtÇ coopÇrative ouvriäre de production Le Chasse-MarÇe Ö Douarnenez.
Voiles et Voiliers;13, rue du Breil;35063;Rennes;48.0956;-1.6269600000000537;RÇdaction;;Ouest-France;Boucher;Jean-Paul;;CrÇÇ en 1971, Voiles et Voiliers est un magazine mensuel franáais consacrÇ Ö la voile sportive et de plaisance. Le magazine Çdite Çgalement des numÇros hors-sÇrie et une collection d'ouvrages consacrÇs Ö la voile.
Edilarge;13, rue du Breil;35063;Rennes;48.0956;-1.6269600000000537;Edition de livres;;Ouest-France;Boucher;Jean-Paul;;"Edition de livres.Depuis plus de quarante ans, 
les Çditions Ouest-France s?imposent comme l?Çditeur des rÇgions.
Loin de se limiter au grand ouest, 
elles participent activement Ö la mise en valeur
 du patrimoine culturel, local, rÇgional et national.
 Du tourisme Ö l?histoire en passant par les arts,
 la peinture mais aussi les thÇmatiques pratiques,
 150 nouveautÇs sont publiÇes par an.
 Presque une trentaine de beaux-livres viennent enrichir
 chaque annÇe un catalogue de 1800 titres et de
 2000 auteurs tous spÇcialistes dans leurs domaines .
Rigueur de l?information et qualitÇ de l?iconographie."
